ECU_ADR;AIF_DATUM;AIF_FG_NR;AIF_ZB_NR;ID_SG_ADR;AIF_LAENGE;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME
00;19.04.2016;NK34297;9134485;0;18;OKAY;94,F1,00,5A,86,01,4E,4B,33,34,32,39,37,20,16,04,19,00,00,09,13,44,85,40;C2,EF,F1,1A,86;JBBF
12;01.05.2016;NK34297;7623407;18;64;OKAY;80,F1,12,42,5A,86,40,4E,4B,33,34,32,39,37,20,16,05,01,00,00,07,62,34,07,00,00,07,62,34,08,00,00,00,00,00,00,00,02,40,4E,46,53,30,31,00,30,30,34,39,50,50,30,4C,39,32,31,53,57,42,41,56,42,31,37,35,30,36,FF,FF,FF,E0;;DME/DDE
40;22.04.2009;NK34297;9147224;64;18;OKAY;94,F1,40,5A,86,01,4E,4B,33,34,32,39,37,20,09,04,22,00,00,09,14,72,24,4A;;CAS
17;26.01.2006;NK34297;7169960;23;18;OKAY;94,F1,17,5A,86,01,4E,4B,33,34,32,39,37,20,06,01,26,00,00,07,16,99,60,82;;EKP
72;24.07.2006;ÿÿÿÿÿÿÿ;6987998;114;18;OKAY;94,F1,72,5A,86,12,FF,FF,FF,FF,FF,FF,FF,20,06,07,24,00,00,06,98,79,98,E2;;FRM
56;07.11.2013;NK34297;9205138;86;18;OKAY;94,F1,56,5A,86,01,4E,4B,33,34,32,39,37,20,13,11,07,00,00,09,20,51,38,5B;;FZD
6D;16.09.2004;ÿÿÿÿÿÿÿ;6926358;109;18;OKAY;94,F1,6D,5A,86,12,FF,FF,FF,FF,FF,FF,FF,20,04,09,16,00,00,06,92,63,58,73;;FAS
78;12.12.2005;NK34297;6983944;120;18;OKAY;94,F1,78,5A,86,01,4E,4B,33,34,32,39,37,20,05,12,12,00,00,06,98,39,44,E4;;KLIMA
18;18.07.2016;NK34297;7572903;24;64;OKAY;80,F1,18,42,5A,86,40,4E,4B,33,34,32,39,37,20,16,07,18,00,00,07,57,29,03,00,00,07,57,29,04,00,00,00,00,00,00,00,02,40,4E,46,53,30,31,00,30,34,37,47,32,35,30,50,34,36,33,5A,57,42,41,56,42,31,37,35,30,36,FF,FF,FF,B3;;EGS
1C;22.04.2009;NK34297;6775949;28;64;OKAY;80,F1,1C,42,5A,86,40,4E,4B,33,34,32,39,37,20,09,04,22,00,00,06,77,59,49,00,00,06,77,59,49,00,00,00,00,00,00,01,11,11,31,32,33,34,35,70,30,32,34,31,53,35,30,46,32,31,30,41,57,42,41,56,42,31,37,35,30,36,FF,FF,FF,BB;;LDM/ICM
62;07.11.2013;NK34297;9205947;98;64;OKAY;80,F1,62,42,5A,86,01,4E,4B,33,34,32,39,37,20,13,11,07,00,00,09,20,59,47,00,00,09,20,59,47,00,00,00,00,00,00,01,11,11,31,32,33,34,35,6F,30,31,37,31,35,4E,30,46,32,38,51,41,57,42,41,56,42,31,37,35,30,36,FF,FF,FF,36;;MOSTGW
63;07.11.2013;NK34297;6975013;99;18;OKAY;94,F1,63,5A,86,01,4E,4B,33,34,32,39,37,20,13,11,07,00,00,06,97,50,13,B6;;MASK/CCC
60;07.11.2013;NK34297;9242367;96;18;OKAY;94,F1,60,5A,86,01,4E,4B,33,34,32,39,37,20,13,11,07,00,00,09,24,23,67,6A;;KOMBI
29;30.10.2005;ÿÿÿÿÿÿÿ;6775387;41;18;OKAY;94,F1,29,5A,86,01,FF,FF,FF,FF,FF,FF,FF,20,05,10,30,00,00,06,77,53,87,44;;DSC
92;;;;146;;ERROR_ECU_SERVICE_NOT_SUPPORTED;83,F1,92,7F,1A,11,B0;;VIRTSG92
01;22.04.2009;NK34297;9134280;1;64;OKAY;80,F1,01,42,5A,86,40,4E,4B,33,34,32,39,37,20,09,04,22,00,00,09,13,42,80,00,00,09,13,42,80,00,00,00,00,00,00,01,11,11,31,32,33,34,35,70,30,30,38,31,4D,49,30,46,32,37,30,41,57,42,41,56,42,31,37,35,30,36,FF,FF,FF,34;;MRS
;;;;;;OKAY;;;
