ECU_ADR;ID_SG_ADR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME
00;0;OKAY;83,F1,00,54,FF,FF,C6;C3,EF,F1,14,FF,FF;JBBF
17;23;OKAY;83,F1,17,54,FF,FF,DD;;EKP
78;120;OKAY;83,F1,78,54,FF,FF,3E;;KLIMA
60;96;OKAY;83,F1,60,54,FF,FF,26;;KOMBI
12;18;OKAY;83,F1,12,54,FF,FF,D8;;DME/DDE
18;24;OKAY;83,F1,18,54,FF,FF,DE;;EGS
40;64;OKAY;83,F1,40,54,FF,FF,06;;CAS
1C;28;OKAY;83,F1,1C,54,FF,FF,E2;;LDM/ICM
92;146;ERROR_ECU_SERVICE_NOT_SUPPORTED;83,F1,92,7F,14,11,AA;;VIRTSG92
01;1;ERROR_ECU_REQUEST_CORRECTLY_RECEIVED__RESPONSE_PENDING;83,F1,01,7F,14,78,80;;MRS
01;1;OKAY;83,F1,01,54,FF,FF,C7;;MRS
62;98;OKAY;83,F1,62,54,FF,FF,28;;MOSTGW
63;99;OKAY;83,F1,63,54,FF,FF,29;;MASK/CCC
72;114;OKAY;83,F1,72,54,FF,FF,38;;FRM
29;41;OKAY;83,F1,29,54,FF,FF,EF;;DSC
6D;109;OKAY;83,F1,6D,54,FF,FF,33;;FAS
56;86;OKAY;83,F1,56,54,FF,FF,1C;;FZD
;;OKAY;;;
